,tsne1,tsn2
0,42.256626,17.172369
1,42.960575,-27.451283
2,29.027073,25.671173
3,2.92075,59.591774
4,-31.14028,-43.718124
5,72.626015,-9.33418
6,28.686552,-11.991594
7,86.96049,-6.4990096
8,-2.8209867,-25.786385
9,17.135298,-42.099316
10,-27.25814,53.324905
11,71.09038,33.513344
12,14.924946,40.324177
13,59.7625,31.902237
14,27.616432,-14.129341
15,82.27497,-19.327822
16,71.08839,33.4896
17,-0.39041644,-85.795525
18,-18.14117,-57.374023
19,27.046568,63.54693
20,42.717655,34.516823
21,-22.114647,-31.066875
22,-11.2406,-61.72481
23,-40.967228,-21.973717
24,-27.874018,-55.55363
25,65.29702,-9.445115
26,0.560763,84.547386
27,-27.874018,-55.55363
28,65.29977,-9.45925
29,-5.7682323,13.287695
30,19.301184,-0.6738429
31,59.03365,47.714523
32,14.145866,-25.809074
33,-33.27043,-35.514957
34,-66.368065,-10.071966
35,-26.744274,8.7576065
36,-15.876313,0.21035618
37,-7.495481,47.018444
38,19.066948,-54.788334
39,-16.824097,-69.764725
40,-0.59226614,11.337322
41,-57.56226,1.4481491
42,-4.118386,3.4176805
43,-3.182776,1.890126
44,15.626697,17.573698
45,26.236923,1.8460207
46,10.189476,-82.667
47,25.791054,-39.346046
48,-38.668377,-39.437866
49,64.87798,53.863483
50,-62.45892,-44.18258
51,25.328094,52.0938
52,28.251278,8.117006
53,64.316345,29.908266
54,-60.230927,25.995
55,-41.465088,-36.33863
56,-0.98754,63.196014
57,85.0303,5.4443445
58,-50.208813,-4.418889
59,-7.871824,-75.86862
60,14.145866,-25.809074
61,-24.404879,16.608984
62,-46.34158,-42.166073
63,14.573235,-24.977642
64,-73.07937,25.93322
65,56.88621,12.834367
66,-68.57355,-29.98016
67,86.28415,13.071938
68,4.2636976,-37.28367
69,-73.93959,-0.90962064
70,-43.97775,54.59085
71,14.145866,-25.809074
72,-28.544958,-80.75221
73,-27.201714,69.28398
74,-62.092663,-10.449173
75,-28.545313,-56.077213
76,10.1895,-82.66688
77,77.508865,10.588449
78,48.65001,-24.418703
79,-31.134554,-43.714973
80,-19.083673,-10.436084
81,4.2994423,-28.660578
82,-27.874018,-55.55363
83,28.686552,-11.991594
84,-12.799767,61.35826
85,-1.05387,-18.063204
86,-51.823254,-13.00543
87,33.258823,49.688667
88,8.013928,34.33663
89,-75.06838,32.456673
90,64.87798,53.863483
91,-33.618202,70.319244
92,-78.892365,4.578639
93,18.488249,79.00863
94,38.34531,-16.420654
95,-18.367704,38.112843
96,-28.97149,45.26448
97,38.917774,18.16897
98,-23.794065,15.406676
99,31.394945,-34.03298
100,-54.182667,-38.162292
101,9.750128,-65.29413
102,59.002373,47.70861
103,-49.989136,-40.93449
104,39.035294,-37.68965
105,-48.218254,9.501827
106,31.461885,15.267401
107,-27.030079,-1.9689206
108,-0.014011605,-78.2439
109,9.066435,2.3793676
110,4.161547,-11.520211
111,-41.84655,27.387714
112,-4.4141426,-7.5646815
113,65.264626,-9.396414
114,-17.155375,0.7266142
115,16.267765,-14.199736
116,-6.6304264,-53.30895
117,-80.296,-13.755337
118,-3.182776,1.890126
119,14.924946,40.324177
120,55.97203,7.0358353
121,34.720192,48.978386
122,38.85417,31.484745
123,-14.91639,-69.45378
124,-51.10976,-13.799168
125,-49.74773,-45.04512
126,-58.801422,-34.704777
127,-0.16430524,-17.536833
128,1.3618952,41.04975
129,41.852207,64.049965
130,-65.209564,6.5254536
131,15.6265,17.560875
132,-3.5871356,4.8165364
133,-65.42145,42.509605
134,-78.49454,20.270409
135,24.80595,-34.08811
136,60.05143,-36.042225
137,53.226772,-62.322605
138,71.08911,33.507797
139,-59.010845,9.792111
140,12.727525,51.453735
141,-21.541788,-37.712875
142,38.25214,8.260245
143,-2.8506577,-9.199469
144,-41.978962,58.857536
145,-57.513264,44.66024
146,-28.544958,-80.75221
147,11.023093,-35.73748
148,-16.404137,34.91228
149,43.860504,-1.699672
150,13.255344,-6.4992037
151,25.328094,52.0938
152,-50.082214,41.790054
153,47.319138,36.806072
154,44.05946,-64.97863
155,56.983032,-15.40311
156,-39.689785,14.2728405
157,21.080557,-0.5206161
158,-18.72862,46.889362
159,-2.8506577,-9.199469
160,-0.5870657,-54.62814
161,50.830715,-50.79214
162,81.37303,-28.377735
163,41.694534,57.12236
164,33.274704,9.047982
165,10.7346325,18.920565
166,-6.8800297,-62.971886
167,-16.914356,31.937315
168,-20.211609,-28.653894
169,31.907879,34.078682
170,26.28652,-11.390405
171,-26.345572,61.483875
172,63.45689,11.5791
173,13.529285,-22.085508
174,56.983032,-15.40311
175,17.21837,-14.68646
176,59.943054,47.95099
177,13.848331,50.86463
178,-59.402443,33.85297
179,-10.514244,29.201687
180,-6.927513,-44.467587
181,-52.52437,-54.177628
182,-7.4626207,-52.72245
183,-61.855587,1.5299383
184,-38.649044,-23.77796
185,0.47453305,-65.13744
186,-1.9721813,-71.35275
187,-32.833168,28.618011
188,65.26461,-9.396413
189,79.07817,29.069046
190,46.041965,1.736833
191,-27.027649,-2.9533002
192,39.557384,18.001076
193,-29.428959,-12.905163
194,-3.0590138,-7.957811
195,-22.335442,35.658897
196,28.686552,-11.991594
197,-73.848,-9.992177
198,18.488241,79.00861
199,-70.90034,-6.419255
200,22.076237,-51.05297
201,14.0144615,64.975586
202,44.3227,-19.373463
203,-52.684753,-19.636095
204,12.061526,50.468964
205,2.465119,35.760014
206,-52.520805,-12.048354
207,-27.874018,-55.55363
208,23.034908,59.0554
209,-78.49454,20.270409
210,-0.39041644,-85.795525
211,-16.482378,28.5363
212,-7.9533486,-11.61555
213,18.488243,79.00859
214,-22.125534,27.411201
215,23.034908,59.0554
216,-26.003466,27.545591
217,-33.83879,46.05183
218,-80.29578,-13.755242
219,32.787006,18.94822
220,-26.8927,-66.74428
221,-25.576866,-18.356798
222,-3.182776,1.890126
223,-18.34469,0.97036445
224,-16.689245,-41.931175
225,17.290485,-79.2125
226,77.517975,10.628536
227,54.676834,-24.5464
228,10.53478,34.044975
229,-29.428959,-12.905163
230,72.65107,40.523476
231,-11.410863,34.3524
232,-7.132335,72.65904
233,32.99723,41.717735
234,23.794891,15.662228
235,-32.04614,-58.433693
236,-61.38096,61.19974
237,-63.183918,-15.964681
238,17.76192,6.929821
239,-76.46832,8.800505
240,-18.708406,-9.578344
241,-54.455143,-28.01504
242,42.960575,-27.451283
243,-3.006436,19.905289
244,54.676823,-24.546383
245,24.224047,-32.905552
246,-63.523655,-28.370802
247,-33.960205,-3.620159
248,2.4948266,30.511147
249,71.84985,22.126081
250,-50.443012,-3.2800932
251,-52.52493,-54.178467
252,8.124029,-62.02269
253,56.983032,-15.40311
254,-19.030178,-30.469057
255,8.827477,18.033506
256,62.89544,-22.701208
257,72.70601,-28.208292
258,-51.105267,14.535895
259,38.35593,-16.435266
260,-50.08221,41.7901
261,-52.801327,-47.162006
262,-60.90079,0.63761795
263,9.066435,2.3793676
264,50.680412,-35.407883
265,4.6378565,49.4924
266,-3.0669677,-7.9654217
267,-0.060436144,68.107544
268,22.208363,-64.95155
269,63.622,-50.226185
270,-11.410857,34.35239
271,-82.95781,-20.562962
272,-6.696604,46.082577
273,69.93522,14.664053
274,-59.56032,-51.44533
275,-7.1667304,-42.320023
276,-14.915864,-22.787758
277,-6.794138,-45.334404
278,6.8030443,-10.764791
279,37.571995,-8.078875
280,-20.012249,-30.261667
281,-25.204937,-74.184235
282,52.405727,32.12604
283,43.62686,-26.87941
284,22.292398,59.44158
285,5.5411267,-44.056686
286,75.40698,-17.70683
287,-54.46185,18.926432
288,76.908516,2.3576937
289,69.91171,14.667076
290,-19.476772,72.3082
291,15.038613,-23.446281
292,70.70003,27.511053
293,-13.828579,79.40851
294,44.059612,-64.9788
295,21.4709,-38.55804
296,63.310604,41.993782
297,-42.254795,-52.840515
298,-36.66706,-8.550306
299,38.882504,-38.62979
300,32.243797,49.118626
301,58.018143,-2.889535
302,10.53478,34.044975
303,24.862358,-34.10446
304,5.7895703,-10.453764
305,-63.668064,-26.414646
306,5.4882154,-28.934917
307,-43.095615,-24.24296
308,22.974005,37.556522
309,-37.54002,-23.64759
310,31.733774,-21.979546
311,-27.027649,-2.9533002
312,9.066435,2.3793676
313,-12.074545,-22.256777
314,-47.71905,-67.70816
315,-14.529942,-21.918545
316,26.02495,-34.333584
317,-56.350403,-40.90537
318,70.61335,8.52668
319,-6.9061503,-30.26244
320,-72.121124,1.4052342
321,-46.934994,-39.675034
322,-36.90372,-59.780064
323,71.994705,37.145763
324,41.152107,55.140713
325,4.51466,-9.353787
326,38.91791,18.170946
327,10.53478,34.044975
328,38.65021,-31.042429
329,-38.87586,-0.34100124
330,-17.351562,1.9717368
331,-42.963882,49.376778
332,5.4521694,-28.886185
333,-56.89584,55.58233
334,32.35695,80.9675
335,32.490513,25.404066
336,52.09795,15.433004
337,-7.697601,84.54152
338,16.431084,13.702142
339,-0.39041644,-85.795525
340,9.75973,-65.31249
341,42.933395,42.4424
342,19.730022,38.324657
343,-0.06043398,68.107544
344,-0.76084715,26.204277
345,-7.4971685,47.014885
346,15.634241,71.09567
347,-13.891366,1.1549587
348,64.31637,29.908243
349,-14.0857115,41.18657
350,33.595055,20.793722
351,-62.978138,16.598742
352,50.937798,52.66948
353,42.911926,17.14337
354,36.53191,34.952404
355,9.066435,2.3793676
356,-3.1454701,72.84974
357,29.904898,16.99548
358,24.439697,52.329403
359,-59.402443,33.85297
360,49.7513,-8.64534
361,-38.87586,-0.34100124
362,-27.026407,-1.9701047
363,-29.416441,-45.771538
364,38.305374,-36.997932
365,-2.5689857,-13.435629
366,22.88591,-75.73808
367,35.002514,-31.479403
368,-18.241613,-58.36271
369,49.7513,-8.64534
370,6.579955,-35.799213
371,5.7896733,-10.453897
372,-29.031311,30.582434
373,-51.82262,-13.003931
374,14.35325,-75.30489
375,77.51793,10.628358
376,-45.70577,-58.4149
377,34.48251,-4.3793154
378,-31.410854,-27.921436
379,-4.0788426,37.651783
380,53.226772,-62.322605
381,-50.81917,-34.662174
382,26.739206,-5.2028623
383,32.331543,10.589934
384,-75.142624,11.268928
385,-54.223137,-3.2730727
386,11.403923,78.67296
387,-30.545963,17.271986
388,-72.41358,-18.131485
389,-27.027649,-2.9533002
390,20.677849,11.3321495
391,-12.796591,16.696373
392,60.69631,-53.976192
393,5.38221,62.88366
394,55.529392,38.522224
395,12.727249,51.453674
396,7.1882935,-74.68078
397,38.32284,-16.437065
398,-26.115856,35.99727
399,-37.790443,-26.876234
400,51.407036,16.074022
401,33.581017,49.524876
402,-3.1977606,-34.604603
403,62.956684,21.823566
404,-66.05936,-21.524605
405,-41.148914,26.477625
406,-33.1314,-74.15235
407,42.93797,42.447113
408,9.066435,2.3793676
409,-50.504906,29.095348
410,-7.272116,63.293217
411,-12.763067,27.20296
412,21.127958,4.3234406
413,49.7513,-8.64534
414,16.416164,-69.29172
415,29.026993,25.671005
416,-3.5871356,4.8165364
417,46.349007,22.867668
418,8.001508,1.398823
419,-78.49454,20.270409
420,-3.8542237,-26.132097
421,74.53533,-2.8207264
422,2.2994645,10.090562
423,28.313702,-52.233997
424,44.55151,4.917156
425,26.483345,28.281952
426,-50.803818,-2.2873502
427,-71.088806,-13.718904
428,35.524147,28.676567
429,6.8030443,-10.764791
430,35.977177,48.333584
431,6.0762444,-27.981083
432,42.840862,-46.265617
433,25.791039,-39.346077
434,-41.986313,58.833767
435,39.159386,-53.133163
436,42.960575,-27.451283
437,-27.262268,53.327576
438,-18.995558,-59.494946
439,-10.854598,42.69268
440,-45.705772,-58.414898
441,-38.283062,-67.769356
442,-6.430482,-26.690445
443,13.067157,45.107895
444,24.969341,-34.110294
445,-50.44247,-3.2793443
446,-0.060436096,68.107544
447,-37.753445,41.45034
448,32.243797,49.118626
449,-45.080597,37.4492
450,-16.593338,-20.377811
451,35.303394,48.44697
452,-42.202667,9.120458
453,-18.14117,-57.374023
454,23.060219,36.362457
455,16.124643,-24.257511
456,21.364456,74.15003
457,-1.4006935,-46.599483
458,-27.389956,4.097046
459,-13.683588,-30.333416
460,64.31638,29.90823
461,-27.874018,-55.55363
462,17.21837,-14.68646
463,-6.9714108,-44.309616
464,-57.497025,44.635002
465,15.822172,16.481316
466,21.49457,31.707716
467,32.858406,35.377888
468,76.90794,2.3525841
469,6.043301,-30.064169
470,44.05946,-64.97863
471,-25.20315,17.427673
472,-23.650902,17.587791
473,-8.629249,-74.12776
474,-50.643772,-21.119457
475,1.4849085,23.868979
476,50.35889,-43.276096
477,-26.319624,15.2311735
478,-22.114647,-31.066875
479,-27.978167,52.5199
480,7.7260737,9.542607
481,5.974948,-38.49988
482,34.729687,28.98122
483,63.140663,21.097609
484,35.35057,9.74837
485,19.301203,-0.6739711
486,27.616432,-14.129341
487,-5.95528,3.0204124
488,38.86181,6.6785836
489,-65.03302,-2.2715287
490,33.553913,-44.29035
491,-18.163658,-58.37128
492,-3.0348306,36.07921
493,17.21837,-14.68646
494,-8.264882,-75.02424
495,-14.915864,-22.787758
496,-7.652224,-23.394644
497,-24.828016,73.592705
498,-19.092133,72.24203
499,57.69358,-13.24628
500,8.609868,43.5251
501,-1.363146,-60.692944
502,-17.469048,56.981236
503,63.439713,11.55246
504,39.098213,-53.030872
505,71.09038,33.513344
506,-4.4689913,35.23659
507,-47.15916,-18.609835
508,2.0943487,41.45289
509,22.077562,-51.053253
510,-18.163658,-58.37128
511,-58.534645,8.827818
512,27.642488,-11.813884
513,-36.421734,50.412075
514,-27.94333,44.855434
515,9.066435,2.3793676
516,71.851814,22.119114
517,34.760483,-44.28272
518,5.4542828,-28.88642
519,28.867304,-19.526321
520,-40.389122,-22.398926
521,-0.55084467,13.926431
522,29.722473,-25.65615
523,-19.603876,32.4801
524,-75.06838,32.456673
525,51.42086,53.466747
526,-19.083673,-10.436084
527,-43.095615,-24.24296
528,-24.369095,27.435755
529,-54.182667,-38.162292
530,-56.39714,-31.23483
531,-18.861788,14.458221
532,-12.796591,16.696373
533,20.439377,-50.84054
534,-41.954773,58.769337
535,22.28033,59.444725
536,21.037329,-73.76519
537,31.985367,41.53335
538,26.28652,-11.390405
539,14.0144615,64.975586
540,-38.290134,-67.77313
541,29.723011,-25.656658
542,65.14867,-47.292175
543,-55.677357,18.530975
544,70.75708,14.843482
545,-22.47991,24.014599
546,-2.9102325,-57.63427
547,-47.71905,-67.70816
548,74.53533,-2.8207264
549,11.333218,-45.438427
550,-41.105854,-38.893448
551,15.304347,-13.152257
552,4.011557,-60.615147
553,22.076237,-51.05297
554,71.85466,22.115784
555,-12.796591,16.696373
556,-27.941462,44.845963
557,-15.861271,9.714298
558,25.269014,58.41936
559,46.880688,68.92247
560,-66.367874,-10.071929
561,-42.25667,-52.8436
562,-4.0598545,38.080826
563,-35.61684,-14.304774
564,11.403923,78.67296
565,-41.26407,-30.605686
566,37.03121,39.284607
567,79.68514,18.772057
568,-63.579628,-43.46752
569,-36.433994,50.42999
570,16.949566,4.6333523
571,-80.91078,27.507349
572,-48.47599,-24.604668
573,-14.915864,-22.787758
574,-63.725624,-43.382385
575,48.207397,27.271475
576,42.830204,-46.25891
577,58.107212,-5.705838
578,55.97204,7.0358343
579,-22.114647,-31.066875
580,79.07817,29.069046
581,-37.492256,-48.013138
582,-57.849865,45.429893
583,86.96049,-6.4990096
584,12.722171,51.461674
585,-36.93265,-59.787296
586,-38.29014,-67.77312
587,-52.52436,-54.17762
588,6.8030443,-10.764791
589,-2.6145802,-7.0756683
590,22.076223,-51.05301
591,-53.162777,-11.956107
592,15.634157,71.09561
593,-11.240599,-61.724796
594,12.775269,51.483543
595,10.189472,-82.66693
596,18.447668,64.82944
597,14.573237,-24.97764
598,15.652432,-33.02384
