,tsne1,tsn2
0,-4.4913077,42.739758
1,-61.613438,25.782972
2,7.5647416,41.240376
3,7.06827,38.6245
4,28.422577,-6.960265
5,-21.165567,-24.659634
6,-15.528992,8.58031
7,29.527319,17.079887
8,-3.0964508,-19.936586
9,-35.12927,-22.478312
10,-6.0841217,-49.61131
11,19.769148,-8.74369
12,9.285017,60.935284
13,8.281742,-14.546302
14,-30.702858,-10.938331
15,-15.230467,-56.802654
16,19.713522,-8.07097
17,48.051006,-34.66454
18,-14.293081,-14.029479
19,-28.900772,-30.593184
20,35.81419,50.560238
21,17.589993,-62.06776
22,31.355738,-46.78399
23,19.07455,20.091263
24,58.36734,30.774963
25,64.01334,-3.9042382
26,53.60066,-39.436832
27,56.180885,36.382473
28,12.08786,30.061163
29,46.599358,34.05786
30,32.399357,46.56871
31,17.59196,-8.981022
32,33.78341,-45.154064
33,31.095266,1.6557815
34,49.88242,-10.6599
35,-40.53454,-14.568348
36,34.889957,-46.206844
37,-58.22452,25.52868
38,-12.938541,25.138208
39,20.120882,-38.906116
40,-42.064774,37.91044
41,5.532234,26.409311
42,-68.29361,-6.5179863
43,-57.812325,4.0111475
44,-19.939547,43.353283
45,41.986,53.123108
46,-16.793314,9.529574
47,-25.616573,-4.6161194
48,28.73575,-4.975727
49,-33.091263,-57.43553
50,9.266416,-2.324727
51,-5.566282,-11.038839
52,42.138237,50.05413
53,-13.881416,4.049412
54,-0.4054704,-25.356634
55,-39.00997,17.430285
56,1.4284304,34.973946
57,-24.842201,-6.7700725
58,50.8724,-8.740892
59,-48.111336,-36.424366
60,-36.08901,-52.158493
61,-44.316006,-28.618095
62,28.438406,-0.81721205
63,-18.872244,-17.251034
64,-25.090738,-33.086155
65,22.324099,63.471783
66,10.71668,-8.204927
67,-14.493311,12.228411
68,25.676723,-57.024277
69,9.822628,-51.434948
70,29.19816,44.68196
71,28.575417,-33.042618
72,-56.23456,-9.255498
73,-30.675055,-39.994843
74,6.2077303,2.7020135
75,-9.084931,31.423027
76,34.31031,-58.504078
77,28.586325,30.858597
78,64.18064,-8.499553
79,24.79011,-0.93657464
80,35.98604,-45.4164
81,-23.890512,-23.040054
82,58.428776,32.29433
83,-32.55542,-41.830574
84,-26.151062,-19.771645
85,-24.265028,-37.58258
86,48.51089,-10.254596
87,-19.88433,-27.664513
88,53.443104,-40.545834
89,10.580623,-41.776524
90,38.2344,-52.22179
91,-13.6701,-16.895838
92,-1.1889557,67.11062
93,31.2697,15.595918
94,5.1760306,37.29538
95,-2.019611,10.002622
96,-10.33301,-26.571867
97,8.787471,55.3449
98,-20.703054,9.179785
99,-30.564924,-53.374557
100,29.499641,-15.94172
101,47.94388,22.960886
102,-34.250977,21.158512
103,10.167154,16.385376
104,14.700025,-51.690228
105,-50.466705,15.188199
106,13.310255,66.55692
107,10.92122,-17.667553
108,-41.702,-35.25165
109,43.873367,-30.39561
110,-24.6818,16.90898
111,-53.077957,-24.746468
112,-25.728262,-37.7958
113,-62.00618,23.65745
114,-40.58514,-47.971546
115,48.31346,-44.206604
116,-41.224575,37.362545
117,42.56724,13.648183
118,11.619454,-15.91871
119,-2.2605643,31.173872
120,-5.343847,40.19887
121,-14.374448,-26.424072
122,14.427843,53.416534
123,-20.439087,-32.350464
124,6.524977,20.812244
125,-46.309708,21.50297
126,36.38677,-11.35328
127,-7.486753,-12.505312
128,29.567947,19.502773
129,27.999725,-57.22938
130,-0.76188177,-23.315226
131,44.02917,37.125023
132,-56.76093,2.6706035
133,53.976204,-36.479744
134,25.779568,-48.231956
135,-26.08263,-0.7112995
136,1.1247588,-38.40405
137,-18.943476,63.311
138,-42.27436,26.092901
139,-55.79586,26.410372
140,-48.660606,-13.915124
141,-59.935295,0.06904371
142,-3.2107778,42.436935
143,-9.399291,-10.774337
144,-28.52917,36.250423
145,25.774147,-26.18016
146,-56.62002,-13.576978
147,-5.605937,-27.376358
148,46.10851,-40.415592
149,4.9702277,65.47449
150,39.7228,18.628912
151,-22.059864,-38.698135
152,28.614912,26.741667
153,32.492233,-48.05533
154,15.399085,-42.921505
155,24.60573,-27.34462
156,-25.869003,-16.514685
157,29.636251,25.775826
158,2.5605443,-27.066956
159,-26.274204,-35.236942
160,-41.290215,34.6573
161,-13.177726,48.42044
162,5.6343203,-32.666176
163,8.801019,13.510096
164,-3.6740701,32.368683
165,47.28963,33.06032
166,21.553045,-4.7729983
167,-57.979984,-22.98229
168,-20.39634,-60.334415
169,2.8745294,43.853928
170,-37.576668,-50.731068
171,61.29044,5.0781574
172,15.260696,55.25218
173,39.579777,-52.367584
174,1.3438262,-5.5393434
175,36.955383,-35.171516
176,16.673615,-14.470816
177,-56.221214,-26.451685
178,0.24651282,-50.81956
179,-20.856369,-29.649597
180,-61.018852,-0.9447315
181,22.394093,-16.210852
182,41.20741,21.095783
183,43.728607,-14.664561
184,40.211338,-5.3937654
185,-44.771263,38.839203
186,-11.415191,7.538308
187,42.023773,-51.30817
188,65.58215,1.3420795
189,32.76742,-46.806755
190,5.198092,65.25677
191,-43.876514,-41.200558
192,-2.581977,42.63048
193,-41.97641,-40.41548
194,-25.25995,-36.751347
195,48.47557,-40.58095
